folder,droid_score,raft_score,combined_score,task
put_blue_cup_on_plate_s43,0.146253481507301,0.48710001665066804,0.26690836119804207,put_blue_cup_on_plate
put_blue_cup_on_plate_s44,0.16287386417388902,0.5508688192167941,0.29953653072496306,put_blue_cup_on_plate
put_blue_cup_on_plate_s45,0.292533963918685,0.565924854753882,0.4068811141368682,put_blue_cup_on_plate
put_blue_cup_on_plate_s46,0.13877829909324602,0.7933408794526591,0.3318109369077215,put_blue_cup_on_plate
put_blue_cup_on_plate_s47,0.19102850556373502,0.644424550769211,0.3508610250256128,put_blue_cup_on_plate
put_blue_cup_on_plate_s48,0.146905377507209,0.7371265979202001,0.32907120982862,put_blue_cup_on_plate
put_blue_cup_on_plate_s49,0.128429532051086,0.505083775688427,0.25469132878498313,put_blue_cup_on_plate
put_blue_cup_on_plate_s50,0.22622205317020402,1.044135332537091,0.4860107392991378,put_blue_cup_on_plate
put_blue_cup_on_plate_s51,0.17744670808315202,0.748187579463055,0.36436715412399734,put_blue_cup_on_plate
put_blue_cup_on_plate_s52,0.266675025224685,0.8817081838288641,0.48490159018441414,put_blue_cup_on_plate
put_blue_cup_on_plate_s53,0.29156267642974804,0.854479684321038,0.4991336331239241,put_blue_cup_on_plate
put_blue_cup_on_plate_s54,0.352649927139282,1.553561138760118,0.740177831598715,put_blue_cup_on_plate
put_blue_cup_on_plate_s55,0.190321326255798,0.816264985838264,0.39414798576284593,put_blue_cup_on_plate
put_blue_cup_on_plate_s56,0.39199271798133806,0.6594639735777851,0.5084339440020987,put_blue_cup_on_plate
put_blue_cup_on_plate_s57,0.16413974761962802,0.610686050912274,0.316603623276121,put_blue_cup_on_plate
put_blue_cup_on_plate_s58,0.24071465432643802,0.539157739373329,0.3602543113700024,put_blue_cup_on_plate
put_blue_cup_on_plate_s59,0.257856637239456,1.011879255781434,0.5108030757426623,put_blue_cup_on_plate
put_blue_cup_on_plate_s60,0.163287505507469,0.5910452678219561,0.31066108128415626,put_blue_cup_on_plate
